name,latitude,longitude
BERTH,35.4551,139.68326666666667
TSURUMI,35.445816666666666,139.69175
PILOT CH,35.4307,139.71571666666668
TOKYO WA,35.42245,139.72841666666667
TOKYO WA,35.4071,139.71958333333333
TOKYO WA,35.38248333333333,139.70525
URAGA SU,35.329433333333334,139.70968333333334
URAGA SU,35.256233333333334,139.77095
URAGA SU,35.21221666666667,139.7722
URAGA P/,35.17166666666667,139.75973333333334
NAKA NO,34.951433333333334,139.67991666666666
WP,18.801183333333334,145.85581666666667
ULUI ISL,8.333333333333334,149.33333333333334
HITCHFIE,7.85,149.8
MALENDOK,-3.48,152.99333333333334
NE OF NE,-3.955,153.29333333333332
E OF NEW,-4.723333333333334,153.29108333333335
W OF WOO,-9.008333333333333,152.27583333333334
EAST ISL,-10.396666666666667,152.17283333333333
PANANIU,-10.811666666666667,152.09466666666665
JOMARD E,-11.168166666666666,152.1155
JOMARD,-11.332,152.095
JOMARD O,-11.429583333333333,152.0115
HOLMES R,-16.42275,147.52533333333332
PALM PAS,-18.249416666666665,147.09891666666667
TSS,-18.410583333333335,146.925
TSS OUT,-18.999,146.931
P/S PBGA,-19.1095,146.90266666666668
SEA CHAN,-19.138,146.88966666666667
SEA CH P,-19.191666666666666,146.86758333333333
BN P9,-19.219133333333332,146.84978333333333
BREAKWAT,-19.242383333333333,146.83481666666665
HARBOUR,-19.247233333333334,146.83375
BERTH,-19.251033333333332,146.83075
