// USER CHART SHEET exported by JRC ECDIS.
// <<NOTE>>This strings // indicate comment column/cells. You can edit freely.
// - NGAs,,IN USE
// POLYGON
// Comment
// Lat,,,Lon,Add "END" to the end of vertex.
POLYGON

35,26.364,N,139,41.456,E
35,26.300,N,139,41.448,E
35,26.124,N,139,41.373,E
35,26.133,N,139,41.347,E
35,26.272,N,139,41.407,E
35,26.349,N,139,41.446,E
35,26.487,N,139,41.218,E
35,26.525,N,139,41.127,E
35,26.529,N,139,41.126,E
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

35,26.530,N,139,41.226,E,0,20,
// POLYGON
// Comment
// Lat,,,Lon,Add "END" to the end of vertex.
POLYGON

35,18.795,N,139,44.407,E
35,18.765,N,139,44.387,E
35,18.749,N,139,44.350,E
35,18.705,N,139,44.332,E
35,18.673,N,139,44.345,E
35,18.636,N,139,44.421,E
35,18.591,N,139,44.482,E
35,18.640,N,139,44.601,E
35,18.698,N,139,44.667,E
35,18.690,N,139,44.704,E
35,18.710,N,139,44.721,E
35,18.736,N,139,44.707,E
35,18.757,N,139,44.721,E
35,18.795,N,139,44.682,E
35,18.803,N,139,44.534,E
35,18.789,N,139,44.472,E
35,18.802,N,139,44.410,E
35,18.795,N,139,44.407,E
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

35,18.711,N,139,44.478,E,0,20,
// POLYGON
// Comment
// Lat,,,Lon,Add "END" to the end of vertex.
POLYGON

08,41.937,N,149,43.899,E
08,40.328,N,149,41.281,E
08,34.964,N,149,38.971,E
08,33.738,N,149,38.817,E
08,33.048,N,149,39.895,E
08,34.658,N,149,46.132,E
08,32.972,N,149,47.903,E
08,32.303,N,149,56.951,E
08,32.456,N,150,11.815,E
08,33.530,N,150,19.594,E
08,33.990,N,150,25.216,E
08,34.833,N,150,27.064,E
08,36.673,N,150,26.602,E
08,40.581,N,150,22.289,E
08,46.634,N,150,20.595,E
08,59.348,N,150,11.122,E
09,00.420,N,150,09.659,E
09,00.344,N,150,06.809,E
08,57.970,N,150,03.113,E
08,42.190,N,149,44.167,E
08,41.937,N,149,43.899,E
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

08,40.198,N,149,46.708,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

08,47.630,N,150,04.576,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

08,37.209,N,150,13.587,E,0,20,
// POLYGON
// Comment
// Lat,,,Lon,Add "END" to the end of vertex.
POLYGON

08,27.239,N,148,56.675,E
08,26.434,N,148,57.368,E
08,24.019,N,148,57.099,E
08,20.992,N,148,55.713,E
08,20.187,N,148,54.366,E
08,20.570,N,148,52.672,E
08,21.605,N,148,52.865,E
08,23.636,N,148,55.136,E
08,27.009,N,148,56.136,E
08,27.162,N,148,56.598,E
08,27.239,N,148,56.675,E
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

08,21.260,N,148,53.943,E,0,20,
// POLYGON
// Comment
// Lat,,,Lon,Add "END" to the end of vertex.
POLYGON

07,44.917,N,149,27.960,E
07,45.568,N,149,28.959,E
07,45.913,N,149,33.993,E
07,45.798,N,149,38.912,E
07,44.534,N,149,41.217,E
07,42.732,N,149,41.678,E
07,41.966,N,149,41.294,E
07,41.429,N,149,39.911,E
07,41.199,N,149,35.069,E
07,41.736,N,149,29.036,E
07,42.042,N,149,28.306,E
07,43.499,N,149,27.614,E
07,44.879,N,149,27.845,E
07,44.917,N,149,27.960,E
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

07,44.342,N,149,34.493,E,0,20,
// POLYGON
// Comment
// Lat,,,Lon,Add "END" to the end of vertex.
POLYGON

10,48.214,S,152,09.863,E
10,49.727,S,152,09.843,E
10,49.918,S,152,10.405,E
10,50.014,S,152,11.761,E
10,49.899,S,152,12.130,E
10,49.114,S,152,14.803,E
10,48.501,S,152,14.707,E
10,47.505,S,152,14.009,E
10,48.080,S,152,09.882,E
10,48.214,S,152,09.863,E
END
// POLYGON
// Comment
// Lat,,,Lon,Add "END" to the end of vertex.
POLYGON

11,19.393,S,152,01.424,E
11,18.527,S,152,04.064,E
11,17.937,S,152,04.351,E
11,15.417,S,152,05.189,E
11,14.313,S,152,05.740,E
11,14.137,S,152,05.756,E
11,13.393,S,152,04.949,E
11,10.491,S,152,04.688,E
11,10.499,S,151,59.992,E
11,19.396,S,152,01.397,E
11,19.393,S,152,01.424,E
END
// POLYGON
// Comment
// Lat,,,Lon,Add "END" to the end of vertex.
POLYGON

11,14.961,S,152,07.912,E
11,16.394,S,152,07.896,E
11,16.669,S,152,08.021,E
11,16.800,S,152,08.323,E
11,16.815,S,152,08.502,E
11,16.570,S,152,08.712,E
11,15.742,S,152,08.696,E
11,14.861,S,152,08.510,E
11,14.524,S,152,08.424,E
11,14.455,S,152,08.262,E
11,14.623,S,152,08.099,E
11,14.976,S,152,07.920,E
11,14.961,S,152,07.912,E
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

10,48.410,S,152,10.554,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

10,49.291,S,152,12.778,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

10,49.452,S,152,10.329,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

10,48.264,S,152,13.375,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

11,11.732,S,152,02.620,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

11,14.147,S,152,03.804,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

11,16.273,S,152,03.067,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

11,18.304,S,152,02.756,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

11,15.239,S,152,08.064,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

11,16.321,S,152,08.064,E,0,20,
// POLYGON
// Comment
// Lat,,,Lon,Add "END" to the end of vertex.
POLYGON

16,14.851,S,147,43.996,E
16,18.681,S,147,40.426,E
16,45.012,S,147,30.455,E
17,22.334,S,147,41.703,E
17,32.976,S,148,05.260,E
17,55.655,S,148,16.304,E
18,01.894,S,148,23.264,E
18,15.901,S,149,37.768,E
17,59.317,S,150,38.620,E
17,46.801,S,150,57.636,E
17,32.471,S,151,07.342,E
17,30.098,S,151,07.941,E
17,28.031,S,151,08.020,E
16,40.899,S,150,52.119,E
16,23.323,S,150,24.602,E
16,01.100,S,150,09.633,E
15,37.029,S,149,50.538,E
15,31.796,S,149,40.009,E
15,42.220,S,149,06.808,E
16,14.845,S,147,43.893,E
16,14.851,S,147,43.996,E
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

16,13.003,S,147,58.045,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

16,16.682,S,147,48.962,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

16,23.576,S,147,41.742,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

16,33.706,S,147,37.838,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

16,45.125,S,147,34.453,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

16,59.549,S,147,38.306,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,NGA

17,18.421,S,147,44.359,E,0,20,
// POLYGON
// Comment
// Lat,,,Lon,Add "END" to the end of vertex.
POLYGON

19,14.732,S,146,50.207,E
19,14.666,S,146,50.141,E
19,14.578,S,146,50.111,E
19,14.532,S,146,50.127,E
19,14.468,S,146,50.212,E
19,14.480,S,146,50.248,E
19,14.570,S,146,50.298,E
19,14.607,S,146,50.341,E
19,14.230,S,146,50.363,E
19,14.048,S,146,50.433,E
